,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
0,"



David Warner



",12,12,2,692,481,100,69.20,143.86,57,21,1,8,2019
1,"



KL Rahul


",14,14,3,593,438,100,53.90,135.38,49,25,1,6,2019
2,"



Quinton de Kock


",16,16,1,529,398,81,35.26,132.91,45,25,0,4,2019
3,"



Shikhar Dhawan


",16,16,1,521,384,97,34.73,135.67,64,11,0,5,2019
4,"



Andre Russell


",14,13,4,510,249,80,56.66,204.81,31,52,0,4,2019
5,"



Chris Gayle


",13,13,1,490,319,99,40.83,153.60,45,34,0,4,2019
6,"



Rishabh Pant


",16,16,3,488,300,78,37.53,162.66,37,27,0,3,2019
7,"



Virat Kohli


",14,14,0,464,328,100,33.14,141.46,46,13,1,2,2019
8,"



Shreyas Iyer


",16,16,1,463,386,67,30.86,119.94,41,14,0,3,2019
9,"



Jonny Bairstow


",10,10,2,445,283,114,55.62,157.24,48,18,1,2,2019
10,"



AB de Villiers


",13,13,3,442,287,82,44.20,154.00,31,26,0,5,2019
11,"



Suryakumar Yadav


",16,15,2,424,324,71,32.61,130.86,45,10,0,2,2019
12,"



MS Dhoni


",15,12,7,416,309,84,83.20,134.62,22,23,0,3,2019
13,"



Chris Lynn


",13,13,0,405,290,82,31.15,139.65,41,22,0,4,2019
14,"



Rohit Sharma


",15,15,1,405,315,67,28.92,128.57,52,10,0,2,2019
15,"



Hardik Pandya


",16,15,6,402,210,91,44.66,191.42,28,29,0,1,2019
16,"



Shane Watson


",17,17,0,398,312,96,23.41,127.56,42,20,0,3,2019
17,"



Faf du Plessis


",12,12,1,396,321,96,36.00,123.36,36,15,0,3,2019
18,"



Ajinkya Rahane


",14,13,1,393,285,105,32.75,137.89,45,9,1,1,2019
19,"



Suresh Raina


",17,17,1,383,314,59,23.93,121.97,45,9,0,3,2019
20,"



Parthiv Patel


",14,14,0,373,268,67,26.64,139.17,48,10,0,2,2019
21,"



Prithvi Shaw


",16,16,0,353,264,99,22.06,133.71,45,9,0,2,2019
22,"



Manish Pandey


",12,11,3,344,263,83,43.00,130.79,34,6,0,3,2019
23,"



Nitish Rana


",14,11,1,344,235,85,34.40,146.38,27,21,0,3,2019
24,"



Sanju Samson


",12,12,2,342,230,102,34.20,148.69,28,13,1,0,2019
25,"



Mayank Agarwal


",13,13,0,332,234,58,25.53,141.88,26,14,0,2,2019
26,"



Steve Smith


",12,10,2,319,275,73,39.87,116.00,30,4,0,3,2019
27,"



Jos Buttler


",8,8,0,311,205,89,38.87,151.70,38,14,0,3,2019
28,"



Shubman Gill


",14,13,4,296,238,76,32.88,124.36,21,10,0,3,2019
29,"



Ambati Rayudu


",17,17,5,282,303,57,23.50,93.06,20,7,0,1,2019
30,"



Robin Uthappa


",12,11,2,282,245,67,31.33,115.10,28,10,0,1,2019
31,"



Kieron Pollard


",16,14,6,279,178,83,34.87,156.74,14,22,0,1,2019
32,"



Dinesh Karthik


",14,13,5,253,173,97,31.62,146.24,22,14,0,2,2019
33,"



Vijay Shankar


",15,14,2,244,193,40,20.33,126.42,11,12,0,0,2019
34,"



Moeen Ali


",11,10,2,220,133,66,27.50,165.41,16,17,0,2,2019
35,"



David Miller


",10,10,2,213,164,59,26.62,129.87,19,7,0,1,2019
36,"



Marcus Stoinis


",10,10,6,211,156,46,52.75,135.25,14,10,0,0,2019
37,"



Colin Ingram


",12,12,2,184,154,47,18.40,119.48,20,5,0,0,2019
38,"



Krunal Pandya


",16,15,4,183,150,42,16.63,122.00,18,5,0,0,2019
39,"



Sarfaraz Khan


",8,5,1,180,143,67,45.00,125.87,19,4,0,1,2019
40,"



Nicholas Pooran


",7,6,0,168,107,48,28.00,157.00,10,14,0,0,2019
41,"



Mandeep Singh


",13,12,8,165,120,33,41.25,137.50,10,4,0,0,2019
42,"



Kedar Jadhav


",14,12,3,162,169,58,18.00,95.85,19,3,0,1,2019
43,"



Riyan Parag


",7,5,0,160,126,50,32.00,126.98,17,5,0,1,2019
44,"



Kane Williamson


",9,9,2,156,130,70,22.28,120.00,12,5,0,1,2019
45,"



Sunil Narine


",12,9,1,143,86,47,17.87,166.27,17,9,0,0,2019
46,"



Rahul Tripathi


",8,7,1,141,118,50,23.50,119.49,13,2,0,1,2019
47,"



Ben Stokes


",9,9,3,123,99,46,20.50,124.24,8,4,0,0,2019
48,"



Mohammad Nabi


",8,7,1,115,76,31,19.16,151.31,8,7,0,0,2019
49,"



Axar Patel


",14,12,6,110,88,26,18.33,125.00,10,3,0,0,2019
50,"



Ravindra Jadeja


",16,9,6,106,88,31,35.33,120.45,7,4,0,0,2019
51,"



Ishan Kishan


",7,6,0,101,100,28,16.83,101.00,8,4,0,0,2019
52,"



Yuvraj Singh


",4,4,0,98,75,53,24.50,130.66,7,6,0,1,2019
53,"



Gurkeerat Mann Singh


",3,3,0,98,70,65,32.66,140.00,11,2,0,1,2019
54,"



Sam Curran


",9,8,4,95,55,55,23.75,172.72,13,3,0,1,2019
55,"



Shimron Hetmyer


",5,5,0,90,73,75,18.00,123.28,4,7,0,1,2019
56,"



Wriddhiman Saha


",5,5,0,86,53,28,17.20,162.26,13,1,0,0,2019
57,"



Colin Munro


",4,4,0,84,70,40,21.00,120.00,9,4,0,0,2019
58,"



Martin Guptill


",3,3,0,81,53,36,27.00,152.83,4,7,0,0,2019
59,"



Dwayne Bravo


",12,9,4,80,66,27,16.00,121.21,6,3,0,0,2019
60,"



Sherfane Rutherford


",7,7,2,73,54,28,14.60,135.18,2,7,0,0,2019
61,"



Liam Livingstone


",4,4,1,71,48,44,23.66,147.91,6,5,0,0,2019
62,"



Stuart Binny


",8,5,2,70,40,33,23.33,175.00,5,4,0,0,2019
63,"



Jofra Archer


",11,5,3,67,40,27,33.50,167.50,4,4,0,0,2019
64,"



Deepak Hooda


",11,7,1,64,63,20,10.66,101.58,5,1,0,0,2019
65,"



Murali Vijay


",2,2,0,64,61,38,32.00,104.91,6,1,0,0,2019
66,"



Shreyas Gopal


",14,7,3,63,46,19,15.75,136.95,8,1,0,0,2019
67,"



Akshdeep Nath


",8,5,0,61,57,24,12.20,107.01,5,2,0,0,2019
68,"



Evin Lewis


",3,3,0,48,52,32,16.00,92.30,4,2,0,0,2019
69,"



Colin de Grandhomme


",4,4,1,46,49,37,15.33,93.87,4,2,0,0,2019
70,"



Piyush Chawla


",13,5,2,42,37,14,14.00,113.51,4,2,0,0,2019
71,"



Ravichandran Ashwin


",14,6,1,42,28,17,8.40,150.00,3,3,0,0,2019
72,"



Shivam Dube


",4,4,1,40,33,24,13.33,121.21,1,3,0,0,2019
73,"



Yusuf Pathan


",10,8,5,40,45,16,13.33,88.88,1,1,0,0,2019
74,"



Rinku Singh


",5,3,1,37,34,30,18.50,108.82,1,2,0,0,2019
75,"



Rashid Khan


",15,8,3,34,23,17,6.80,147.82,2,2,0,0,2019
76,"



Chris Morris


",9,6,0,32,37,17,5.33,86.48,1,2,0,0,2019
77,"



Mitchell Santner


",4,2,1,32,23,22,32.00,139.13,0,3,0,0,2019
78,"



Rahul Tewatia


",5,4,3,26,22,11,26.00,118.18,2,1,0,0,2019
79,"



Umesh Yadav


",11,7,5,25,25,14,12.50,100.00,3,1,0,0,2019
80,"



Amit Mishra


",11,4,2,21,24,8,10.50,87.50,2,0,0,0,2019
81,"



Harpreet Brar


",2,1,1,20,12,20,0.00,166.66,2,1,0,0,2019
82,"



Prayas Ray Barman


",1,1,0,19,24,19,19.00,79.16,2,0,0,0,2019
83,"



Keemo Paul


",8,6,1,18,24,7,3.60,75.00,1,1,0,0,2019
84,"



Ben Cutting


",3,3,1,18,17,13,9.00,105.88,1,1,0,0,2019
85,"



Krishnappa Gowtham


",7,4,1,18,19,9,6.00,94.73,1,1,0,0,2019
86,"



Prabhsimran Singh


",1,1,0,16,17,16,16.00,94.11,1,1,0,0,2019
87,"



Alzarri Joseph


",3,2,2,15,13,15,0.00,115.38,2,0,0,0,2019
88,"



Siddhesh Lad


",1,1,0,15,13,15,15.00,115.38,1,1,0,0,2019
89,"



Shardul Thakur


",10,3,1,14,7,12,7.00,200.00,1,1,0,0,2019
90,"



Kagiso Rabada


",12,4,1,14,15,9,4.66,93.33,0,1,0,0,2019
91,"



Bhuvneshwar Kumar


",15,5,2,12,19,7,4.00,63.15,1,0,0,0,2019
92,"



Kuldeep Yadav


",9,4,2,12,8,10,6.00,150.00,1,0,0,0,2019
93,"



Rahul Chahar


",13,4,2,12,11,10,6.00,109.09,2,0,0,0,2019
94,"



Mitchell McClenaghan


",5,4,1,11,16,10,3.66,68.75,2,0,0,0,2019
95,"



Carlos Brathwaite


",2,2,0,11,10,6,5.50,110.00,1,0,0,0,2019
96,"



Ishant Sharma


",13,3,3,10,3,10,0.00,333.33,1,1,0,0,2019
97,"



Shakib Al Hasan


",3,1,0,9,10,9,9.00,90.00,0,0,0,0,2019
98,"



Pawan Negi


",7,4,0,9,12,5,2.25,75.00,1,0,0,0,2019
99,"



Tim Southee


",3,1,1,9,9,9,0.00,100.00,0,0,0,0,2019
100,"



Abhishek Sharma


",3,3,1,9,9,5,4.50,100.00,1,0,0,0,2019
101,"



Heinrich Klaasen


",3,2,0,9,10,6,4.50,90.00,0,0,0,0,2019
102,"



KC Cariappa


",1,1,1,9,3,9,0.00,300.00,0,1,0,0,2019
103,"



Mahipal Lomror


",2,1,0,8,3,8,8.00,266.66,2,0,0,0,2019
104,"



Deepak Chahar


",17,2,0,7,9,7,3.50,77.77,1,0,0,0,2019
105,"



Trent Boult


",5,3,2,7,4,6,7.00,175.00,0,1,0,0,2019
106,"



Nikhil Naik


",1,1,0,7,16,7,7.00,43.75,1,0,0,0,2019
107,"



Ricky Bhui


",1,1,0,7,12,7,7.00,58.33,0,0,0,0,2019
108,"



Yuzvendra Chahal


",14,3,1,6,16,4,3.00,37.50,0,0,0,0,2019
109,"



Sandeep Sharma


",11,2,2,6,3,5,0.00,200.00,1,0,0,0,2019
110,"



Mayank Markande


",3,2,1,6,5,6,6.00,120.00,1,0,0,0,2019
111,"



Ish Sodhi


",2,1,0,6,11,6,6.00,54.54,0,0,0,0,2019
112,"



Jagadeesha Suchith


",1,1,0,6,15,6,6.00,40.00,0,0,0,0,2019
113,"



Rasikh Salam


",1,1,1,5,4,5,0.00,125.00,0,0,0,0,2019
114,"



Karun Nair


",1,1,0,5,6,5,5.00,83.33,0,0,0,0,2019
115,"



Dhruv Shorey


",1,1,0,5,8,5,5.00,62.50,0,0,0,0,2019
116,"



Dhawal Kulkarni


",10,1,1,5,3,5,0.00,166.66,1,0,0,0,2019
117,"



Mohammed Siraj


",9,4,3,4,14,3,4.00,28.57,0,0,0,0,2019
118,"



Hanuma Vihari


",2,2,0,4,8,2,2.00,50.00,0,0,0,0,2019
119,"



Avesh Khan


",1,1,1,4,3,4,0.00,133.33,1,0,0,0,2019
120,"



Hardus Viljoen


",6,3,1,3,7,2,1.50,42.85,0,0,0,0,2019
121,"



Murugan Ashwin


",10,3,2,3,5,1,3.00,60.00,0,0,0,0,2019
122,"



Varun Aaron


",5,1,1,3,7,3,0.00,42.85,0,0,0,0,2019
123,"



Ashton Turner


",4,4,1,3,10,3,1.00,30.00,0,0,0,0,2019
124,"



Barinder Sran


",2,1,1,3,3,3,0.00,100.00,0,0,0,0,2019
125,"



Navdeep Saini


",13,2,1,2,4,2,2.00,50.00,0,0,0,0,2019
126,"



Harbhajan Singh


",11,1,0,1,3,1,1.00,33.33,0,0,0,0,2019
127,"



Harry Gurney


",8,1,1,1,5,1,0.00,20.00,0,0,0,0,2019
128,"



Washington Sundar


",3,2,0,1,3,1,0.50,33.33,0,0,0,0,2019
129,"



Basil Thampi


",3,1,1,1,1,1,0.00,100.00,0,0,0,0,2019
130,"



Mohammad Shami


",14,2,1,1,2,1,1.00,50.00,0,0,0,0,2019
131,"



Jaydev Unadkat


",11,4,3,1,3,1,1.00,33.33,0,0,0,0,2019
132,"



Siddarth Kaul


",7,2,1,0,1,0,0.00,0.00,0,0,0,0,2019
133,"



Prasidh Krishna


",11,1,0,0,2,0,0.00,0.00,0,0,0,0,2019
134,"



Jasprit Bumrah


",16,3,3,0,1,0,0.00,0.00,0,0,0,0,2019
135,"



Andrew Tye


",6,1,1,0,2,0,0.00,0.00,0,0,0,0,2019
136,"



Sandeep Lamichhane


",6,1,0,0,1,0,0.00,0.00,0,0,0,0,2019
137,"



Harshal Patel


",2,2,1,0,2,0,0.00,0.00,0,0,0,0,2019
138,"



Mohit Sharma


",1,1,1,0,2,0,0.00,0.00,0,0,0,0,2019
139,"



Joe Denly


",1,1,0,0,1,0,0.00,0.00,0,0,0,0,2019
140,"



Khaleel Ahmed


",9,1,0,0,1,0,0.00,0.00,0,0,0,0,2019
141,"



Sam Billings


",1,1,0,0,4,0,0.00,0.00,0,0,0,0,2019
